,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.12977867,0.35294122,0.24590163,0.5272732,0.6666667,0.0022900114,0.0,0.0,0.14889336,0.36764708,0.24590163,0.5272732,0.6666667,0.0038109892,0.0,0.0,0.15995975,0.4264706,0.22950819,0.545454,0.6666667,0.0053319666,0.0,0.0,0.18209255,0.48529413,0.22950819,0.5636368,0.6666667,0.0083910115,0.037037037,0.0
1,0.14889336,0.36764708,0.24590163,0.5272732,0.6666667,0.0038109892,0.0,0.0,0.15995975,0.4264706,0.22950819,0.545454,0.6666667,0.0053319666,0.0,0.0,0.18209255,0.48529413,0.22950819,0.5636368,0.6666667,0.0083910115,0.037037037,0.0,0.13883299,0.48529413,0.22950819,0.5636368,0.6666667,0.009911989,0.074074075,0.0
2,0.15995975,0.4264706,0.22950819,0.545454,0.6666667,0.0053319666,0.0,0.0,0.18209255,0.48529413,0.22950819,0.5636368,0.6666667,0.0083910115,0.037037037,0.0,0.13883299,0.48529413,0.22950819,0.5636368,0.6666667,0.009911989,0.074074075,0.0,0.10965794,0.48529413,0.21311474,0.5636368,0.6666667,0.011432966,0.11111111,0.0
3,0.18209255,0.48529413,0.22950819,0.5636368,0.6666667,0.0083910115,0.037037037,0.0,0.13883299,0.48529413,0.22950819,0.5636368,0.6666667,0.009911989,0.074074075,0.0,0.10965794,0.48529413,0.21311474,0.5636368,0.6666667,0.011432966,0.11111111,0.0,0.1056338,0.48529413,0.21311474,0.5818176,0.6666667,0.014492012,0.14814815,0.0
4,0.13883299,0.48529413,0.22950819,0.5636368,0.6666667,0.009911989,0.074074075,0.0,0.10965794,0.48529413,0.21311474,0.5636368,0.6666667,0.011432966,0.11111111,0.0,0.1056338,0.48529413,0.21311474,0.5818176,0.6666667,0.014492012,0.14814815,0.0,0.12474848,0.48529413,0.22950819,0.6000004,0.6666667,0.017551057,0.0,0.0
5,0.10965794,0.48529413,0.21311474,0.5636368,0.6666667,0.011432966,0.11111111,0.0,0.1056338,0.48529413,0.21311474,0.5818176,0.6666667,0.014492012,0.14814815,0.0,0.12474848,0.48529413,0.22950819,0.6000004,0.6666667,0.017551057,0.0,0.0,0.12072434,0.47058827,0.21311474,0.6000004,0.6666667,0.020610102,0.0,0.0
6,0.1056338,0.48529413,0.21311474,0.5818176,0.6666667,0.014492012,0.14814815,0.0,0.12474848,0.48529413,0.22950819,0.6000004,0.6666667,0.017551057,0.0,0.0,0.12072434,0.47058827,0.21311474,0.6000004,0.6666667,0.020610102,0.0,0.0,0.13279678,0.48529413,0.22950819,0.61818314,0.6666667,0.023669146,0.0,0.0
7,0.12474848,0.48529413,0.22950819,0.6000004,0.6666667,0.017551057,0.0,0.0,0.12072434,0.47058827,0.21311474,0.6000004,0.6666667,0.020610102,0.0,0.0,0.13279678,0.48529413,0.22950819,0.61818314,0.6666667,0.023669146,0.0,0.0,0.14084506,0.48529413,0.22950819,0.636364,0.6666667,0.029018203,0.037037037,0.0
8,0.12072434,0.47058827,0.21311474,0.6000004,0.6666667,0.020610102,0.0,0.0,0.13279678,0.48529413,0.22950819,0.61818314,0.6666667,0.023669146,0.0,0.0,0.14084506,0.48529413,0.22950819,0.636364,0.6666667,0.029018203,0.037037037,0.0,0.1529175,0.47058827,0.22950819,0.636364,0.6666667,0.03436726,0.0,0.0
9,0.13279678,0.48529413,0.22950819,0.61818314,0.6666667,0.023669146,0.0,0.0,0.14084506,0.48529413,0.22950819,0.636364,0.6666667,0.029018203,0.037037037,0.0,0.1529175,0.47058827,0.22950819,0.636364,0.6666667,0.03436726,0.0,0.0,0.14889336,0.47058827,0.22950819,0.636364,0.6666667,0.039716315,0.0,0.0
10,0.14084506,0.48529413,0.22950819,0.636364,0.6666667,0.029018203,0.037037037,0.0,0.1529175,0.47058827,0.22950819,0.636364,0.6666667,0.03436726,0.0,0.0,0.14889336,0.47058827,0.22950819,0.636364,0.6666667,0.039716315,0.0,0.0,0.16498993,0.47058827,0.22950819,0.61818314,0.6666667,0.046586346,0.0,0.0
11,0.1529175,0.47058827,0.22950819,0.636364,0.6666667,0.03436726,0.0,0.0,0.14889336,0.47058827,0.22950819,0.636364,0.6666667,0.039716315,0.0,0.0,0.16498993,0.47058827,0.22950819,0.61818314,0.6666667,0.046586346,0.0,0.0,0.15895371,0.45588237,0.22950819,0.61818314,0.6666667,0.05345638,0.0,0.0
12,0.14889336,0.47058827,0.22950819,0.636364,0.6666667,0.039716315,0.0,0.0,0.16498993,0.47058827,0.22950819,0.61818314,0.6666667,0.046586346,0.0,0.0,0.15895371,0.45588237,0.22950819,0.61818314,0.6666667,0.05345638,0.0,0.0,0.15492958,0.45588237,0.22950819,0.61818314,0.6666667,0.060326416,0.0,0.0
13,0.16498993,0.47058827,0.22950819,0.61818314,0.6666667,0.046586346,0.0,0.0,0.15895371,0.45588237,0.22950819,0.61818314,0.6666667,0.05345638,0.0,0.0,0.15492958,0.45588237,0.22950819,0.61818314,0.6666667,0.060326416,0.0,0.0,0.15995975,0.45588237,0.22950819,0.636364,0.6666667,0.063385464,0.0,0.0
14,0.15895371,0.45588237,0.22950819,0.61818314,0.6666667,0.05345638,0.0,0.0,0.15492958,0.45588237,0.22950819,0.61818314,0.6666667,0.060326416,0.0,0.0,0.15995975,0.45588237,0.22950819,0.636364,0.6666667,0.063385464,0.0,0.0,0.16498993,0.47058827,0.22950819,0.65454674,0.6666667,0.06644451,0.0,0.0
15,0.15492958,0.45588237,0.22950819,0.61818314,0.6666667,0.060326416,0.0,0.0,0.15995975,0.45588237,0.22950819,0.636364,0.6666667,0.063385464,0.0,0.0,0.16498993,0.47058827,0.22950819,0.65454674,0.6666667,0.06644451,0.0,0.0,0.17102616,0.47058827,0.22950819,0.65454674,0.6666667,0.07179356,0.0,0.0
16,0.15995975,0.45588237,0.22950819,0.636364,0.6666667,0.063385464,0.0,0.0,0.16498993,0.47058827,0.22950819,0.65454674,0.6666667,0.06644451,0.0,0.0,0.17102616,0.47058827,0.22950819,0.65454674,0.6666667,0.07179356,0.0,0.0,0.1498994,0.47058827,0.22950819,0.6727276,0.6666667,0.07485261,0.0,0.0
17,0.16498993,0.47058827,0.22950819,0.65454674,0.6666667,0.06644451,0.0,0.0,0.17102616,0.47058827,0.22950819,0.65454674,0.6666667,0.07179356,0.0,0.0,0.1498994,0.47058827,0.22950819,0.6727276,0.6666667,0.07485261,0.0,0.0,0.15492958,0.48529413,0.22950819,0.6727276,0.6666667,0.07791165,0.0,0.0
18,0.17102616,0.47058827,0.22950819,0.65454674,0.6666667,0.07179356,0.0,0.0,0.1498994,0.47058827,0.22950819,0.6727276,0.6666667,0.07485261,0.0,0.0,0.15492958,0.48529413,0.22950819,0.6727276,0.6666667,0.07791165,0.0,0.0,0.16498993,0.48529413,0.22950819,0.65454674,0.6666667,0.08326071,0.037037037,0.0
19,0.1498994,0.47058827,0.22950819,0.6727276,0.6666667,0.07485261,0.0,0.0,0.15492958,0.48529413,0.22950819,0.6727276,0.6666667,0.07791165,0.0,0.0,0.16498993,0.48529413,0.22950819,0.65454674,0.6666667,0.08326071,0.037037037,0.0,0.15694164,0.47058827,0.21311474,0.6727276,0.6666667,0.08860976,0.074074075,0.0
20,0.15492958,0.48529413,0.22950819,0.6727276,0.6666667,0.07791165,0.0,0.0,0.16498993,0.48529413,0.22950819,0.65454674,0.6666667,0.08326071,0.037037037,0.0,0.15694164,0.47058827,0.21311474,0.6727276,0.6666667,0.08860976,0.074074075,0.0,0.12676056,0.47058827,0.21311474,0.65454674,0.6666667,0.093958825,0.11111111,0.0
21,0.16498993,0.48529413,0.22950819,0.65454674,0.6666667,0.08326071,0.037037037,0.0,0.15694164,0.47058827,0.21311474,0.6727276,0.6666667,0.08860976,0.074074075,0.0,0.12676056,0.47058827,0.21311474,0.65454674,0.6666667,0.093958825,0.11111111,0.0,0.090543255,0.48529413,0.21311474,0.65454674,0.6666667,0.09930788,0.14814815,0.0
22,0.15694164,0.47058827,0.21311474,0.6727276,0.6666667,0.08860976,0.074074075,0.0,0.12676056,0.47058827,0.21311474,0.65454674,0.6666667,0.093958825,0.11111111,0.0,0.090543255,0.48529413,0.21311474,0.65454674,0.6666667,0.09930788,0.14814815,0.0,0.06338028,0.47058827,0.21311474,0.636364,0.6666667,0.104656935,0.1851852,0.0
23,0.12676056,0.47058827,0.21311474,0.65454674,0.6666667,0.093958825,0.11111111,0.0,0.090543255,0.48529413,0.21311474,0.65454674,0.6666667,0.09930788,0.14814815,0.0,0.06338028,0.47058827,0.21311474,0.636364,0.6666667,0.104656935,0.1851852,0.0,0.06539235,0.47058827,0.1967213,0.636364,0.6666667,0.111526966,0.22222222,0.0
